image_id,image_name,intersection,union,IoU,precision,recall,split
2,frame_0002.png,387176,1694746,0.22845665368143664,0.5095292615842184,0.29285988750820696,discovery
3,frame_0003.png,820768,2102898,0.3903032862269116,0.5102368391932871,0.6241277991033136,discovery
4,frame_0004.png,500948,1816215,0.2758197680340709,0.6615428093000653,0.321136775516196,discovery
6,frame_0006.png,469878,1839788,0.2553979045411754,0.5799137308625062,0.3133750519370606,discovery
7,frame_0007.png,823441,1772044,0.46468428549178237,0.8115573654970271,0.5208876029356507,discovery
8,frame_0008.png,449622,1860904,0.24161482806206017,0.7509005856938393,0.26266818324415553,discovery
10,frame_0010.png,384738,1791507,0.21475662668356862,0.4716741491211079,0.2827793576022796,discovery
11,frame_0011.png,826056,2213696,0.3731569285032814,0.46205892026500023,0.6597996773111392,discovery
12,frame_0012.png,393617,1903640,0.20677071294992752,0.5240687064875998,0.25457418227396844,discovery
14,frame_0014.png,716594,1877407,0.38169347403093734,0.5200665655941806,0.5892500032891708,discovery
15,frame_0015.png,439616,1880658,0.23375648310325428,0.636432862830257,0.2697818504053945,discovery
16,frame_0016.png,499802,2141998,0.23333448490614836,0.42510146939247645,0.3409113852215028,discovery
18,frame_0018.png,410029,1825005,0.22467280911559145,0.46977874985821705,0.30100035163163685,discovery
19,frame_0019.png,537968,1850201,0.290761922623542,0.8706209450197682,0.3038927703111866,discovery
20,frame_0020.png,585235,1856470,0.3152407526111383,0.5504405518372629,0.4245469509094352,discovery
22,frame_0022.png,573905,1793386,0.3200119773434163,0.754334196448522,0.35724356528337403,discovery
23,frame_0023.png,518072,2087535,0.24817404259090267,0.510649706515793,0.3256119144828141,discovery
24,frame_0024.png,354605,1831869,0.1935755231405739,0.45912237134785344,0.2507601900828784,discovery
26,frame_0026.png,457666,1966543,0.23272615956020284,0.4714332656569808,0.3148907536197582,discovery
27,frame_0027.png,396111,1681056,0.23563224544571984,0.4098784057714575,0.35661387379406456,discovery
28,frame_0028.png,412310,1783830,0.23113749628608107,0.5648770877545345,0.28120436848541397,discovery
30,frame_0030.png,508665,1958117,0.25977252636078435,0.46144237197880505,0.3727999296417225,discovery
31,frame_0031.png,589433,2004754,0.29401762011698196,0.7561573858483075,0.3248144572364433,discovery
32,frame_0032.png,427093,1886726,0.22636726265499071,0.6793920208704505,0.253440732408842,discovery
34,frame_0034.png,859491,1652207,0.5202078189960458,0.9302142599713628,0.5413342470084592,discovery
35,frame_0035.png,374785,1801968,0.2079864903261323,0.49544392785899644,0.2638792077674278,discovery
36,frame_0036.png,349752,1784879,0.1959527788718451,0.4293195002614568,0.26497066210088904,discovery
38,frame_0038.png,458267,1807039,0.25360105675638434,0.8128832560243369,0.2693231058017068,discovery
39,frame_0039.png,386292,1748493,0.22092853674564325,0.4930319347851891,0.28587075088693553,discovery
40,frame_0040.png,436542,1937443,0.22531862872869035,0.6572111635357419,0.255324898186929,discovery
42,frame_0042.png,427134,1720823,0.24821495296146087,0.47766471746664385,0.34068677497160504,discovery
43,frame_0043.png,394518,1694292,0.23285124405946556,0.4171200680049143,0.3451613129004826,discovery
44,frame_0044.png,778697,1777212,0.4381565058079734,0.8449485726314602,0.4764660243600083,discovery
46,frame_0046.png,356307,1844727,0.1931489049599209,0.4734391630004531,0.24599345088961166,discovery
47,frame_0047.png,562638,1715424,0.3279877161564721,0.6742338088761332,0.38975267685755594,discovery
48,frame_0048.png,444044,1892781,0.23459872008436264,0.6773888940586371,0.2641072216651143,discovery
50,frame_0050.png,661852,1913967,0.34580115540132095,0.8264802549425081,0.37287205544078317,discovery
51,frame_0051.png,407143,1905603,0.21365572997103804,0.4527876137688058,0.28802790696358255,discovery
52,frame_0052.png,388478,1735291,0.22386908017156776,0.47058581257873827,0.299232273623935,discovery
54,frame_0054.png,539334,1857413,0.2903683779536377,0.4600883778065925,0.4404499116787409,discovery
55,frame_0055.png,381916,1789857,0.21337794024885787,0.4737518482866755,0.2796647093153957,discovery
56,frame_0056.png,728176,1889237,0.3854339079744892,0.5011210561739295,0.6254093594624841,discovery
58,frame_0058.png,422471,1958411,0.2157213169247926,0.5912232654277881,0.25353670473279,discovery
59,frame_0059.png,400958,1841285,0.21775987964926669,0.5586170481032199,0.2630139969589511,discovery
