obj_block_id,triangle_count,triangle_index_sha256
0,3960,784734e6c7ffa2a99882cacfc1028f53ec7fc07547316effe35eb8a04e12dad6
1,7108,dec0791240e7a70bd70b4956faa9b1236ad6f4fc516ab2a95aef76dd0ad8ccdd
2,6860,88931956e9b66549a483e129254fb4a588a620b740611b2900e2c6003fb6ad7f
3,9116,da446b82a1a35be8d5f5dbae27aa246d846654d734c2d9cf23bbb7212b82b17e
4,260,593bc895b64459f3e8dd594b34ea6a369ad3c992b7a4ed7b584e0419441eabd7
5,120,c80441ce620baee220dd00e27c3e952beb210ae9ae281cba03702400daa5eb63
6,1580,695cb15aa3013f5027b819f7e6433dee30bd857d390149eb417c90cf27cf35bd
7,80,8e72c95d9e4d51b3f22b627be848885d5d531c719133e8205ec3cc2950f03b42
8,20,113400193b17f4eecea6d04e568be4600cb18dddd0cdd4656ec1fcfb32685c37
9,28,1fc0989a23808a48f2764568d926b8b794f68b184b8bad2cfb070ef992f6a383
10,24,cdcb60e14e6053b1339e0dbadda6233b9af18f49abb40038a54084ebe3f2ce89
11,200,ac995e713aa6cdfe4bea115bee9951e3faf2573c9c761ba068c01aff03a6c68b
12,60,de63823666689fec8db2605cb396acab9eced71fd7d53242e3c546bbafadeb7e
13,420,6024dc586252ba260f484ca28dd7d3a7cc3501222ab5a3ace645435b0a844a76
14,1810,c2a1713bead7bdb19454397ddad019f49f840fccde934f0516b91df8c6b03440
15,3012,24c718f7208c9f0f28cc42057ddd27ce5945f96e6e7a011608dbb0e6d37918ac
16,1524,098f4cd14161d50fdefe6b19bc1131f6a86d605f5d2b5f1bd5b3d0ffa02f786e
17,5120,5029139c4a93fe06b4ae55fe969ea4b3538d35da3b1ee1c13971f6526e00778f
18,3328,c76acc81641a2ad5a03dcfacb04c81a54a05d040782dff8a7db2907db9aa568d
19,61824,21f2d1e83443c2428589c1273e3f3ff2121d249eb9ca81dea6b4b699ea517f97
20,6332,c1a2957442bf0f312ac8187aed753182290effac5728859437a04ccae8c23098
